year,week,Borough,Housing,Other jurisdiction,Patrol,Transit,18-24,25-44,45-64,65+,<18,Unknown,Female,Male,American indian/alaskan native,Asian / pacific islander,Black,Black hispanic,Other,Unknown.1,White,White hispanic,Domestic,Drug_&_Violence,Noise,Traffic_related,Number_of_persons_injured,Number_of_persons_killed,Backing unsafely,Driver inattention/distraction,Driver inexperience,Failure to yield right-of-way,Fatigued/drowsy,Following too closely,Lost consciousness,Other vehicular,Passing or lane usage improper,Passing too closely,Prescription medication,Traffic control disregarded,Turning improperly,Unsafe lane changing,Unspecified
2012,45,Brooklyn,101,12,969,103,329,483,238,5,130,0,190,995,1,38,738,46,0,7,130,225,28,0,704,557,120.0,0.0,19,57,9,32,20,1,22,11,0,0,18,14,16,0,482
2012,46,Brooklyn,118,8,1362,177,488,704,280,15,178,0,258,1407,4,40,1040,76,0,20,187,298,46,0,863,720,158.0,2.0,21,68,7,37,18,0,25,14,0,0,14,8,11,0,536
2012,47,Brooklyn,129,12,1095,139,390,574,266,10,135,0,251,1124,0,31,871,50,0,2,165,256,31,0,910,741,175.0,0.0,22,62,8,35,23,0,25,13,0,0,11,8,13,1,443
2012,48,Brooklyn,114,17,1421,167,510,737,292,7,173,0,306,1413,5,40,1126,52,0,12,196,288,36,0,838,802,108.0,1.0,17,49,8,26,23,1,12,8,0,0,19,5,13,0,478
2012,49,Brooklyn,125,20,1563,225,531,785,377,19,221,0,329,1604,3,46,1195,89,0,22,216,362,39,0,893,858,212.0,1.0,17,62,10,45,32,1,25,8,1,0,19,9,14,0,533
2012,50,Brooklyn,122,14,1547,218,543,802,341,14,201,0,324,1577,3,58,1224,55,0,8,220,333,58,0,923,749,172.0,2.0,20,60,5,26,29,0,25,11,0,0,13,5,13,1,518
2012,51,Brooklyn,120,16,1406,179,444,740,341,14,182,0,339,1382,1,37,1114,77,0,16,157,319,44,0,834,751,178.0,0.0,11,68,7,33,29,0,22,11,0,0,15,6,10,1,512
2012,52,Brooklyn,138,6,1184,133,414,600,295,5,147,0,241,1220,1,26,922,64,0,6,161,281,28,0,1176,785,162.0,0.0,11,56,9,21,24,0,11,11,0,0,14,6,11,0,457
2013,1,Brooklyn,164,4,1669,184,545,899,385,16,176,0,301,1720,1,49,1253,80,0,13,248,377,29,0,1203,812,171.0,4.0,21,46,8,32,23,0,11,14,0,0,11,9,8,0,505
2013,2,Brooklyn,142,12,1798,258,633,884,470,24,199,0,369,1841,3,63,1379,86,0,19,288,372,35,0,928,737,145.0,0.0,26,43,14,41,22,1,20,12,0,0,7,10,7,0,468
2013,3,Brooklyn,175,10,1728,233,614,932,382,19,199,0,355,1791,1,34,1317,91,0,16,278,409,33,0,941,705,130.0,0.0,16,45,5,33,24,0,15,7,1,0,12,4,15,0,445
2013,4,Brooklyn,126,10,1573,209,509,880,346,17,166,0,331,1587,4,62,1234,74,0,10,180,354,25,0,984,700,133.0,0.0,19,44,10,21,31,0,15,8,0,0,16,9,7,2,471
2013,5,Brooklyn,123,19,1815,212,569,995,382,17,206,0,368,1801,1,38,1327,79,0,15,307,402,31,0,954,675,143.0,0.0,7,61,6,34,30,0,19,11,0,0,12,10,5,0,532
2013,6,Brooklyn,125,18,1500,214,497,827,327,16,190,0,291,1566,3,53,1143,95,0,24,223,316,25,0,859,730,104.0,0.0,14,50,10,21,15,0,13,6,0,0,9,7,7,0,534
2013,7,Brooklyn,177,10,1807,255,620,1031,395,14,189,0,356,1893,7,59,1338,122,0,29,256,438,40,0,990,708,160.0,1.0,12,42,13,28,25,0,18,3,0,0,15,11,9,1,490
2013,8,Brooklyn,158,39,1789,238,611,984,427,17,185,0,352,1872,4,55,1287,121,0,28,254,475,34,0,1072,675,141.0,1.0,20,41,5,27,17,1,11,7,0,0,13,3,5,0,452
2013,9,Brooklyn,157,17,2007,287,667,1091,429,18,263,0,358,2110,5,51,1432,146,0,22,387,425,39,0,948,757,145.0,3.0,14,48,13,24,31,0,16,9,0,0,11,7,13,0,465
2013,10,Brooklyn,159,14,1865,215,565,1046,439,17,186,0,360,1893,4,38,1404,104,0,15,274,414,29,0,905,774,167.0,1.0,13,51,3,28,32,0,14,8,0,0,13,8,11,0,535
2013,11,Brooklyn,132,12,1746,242,561,940,386,18,227,0,346,1786,10,61,1334,91,0,20,242,374,33,0,1077,770,156.0,0.0,15,62,6,26,19,0,12,6,0,0,9,7,10,0,494
2013,12,Brooklyn,145,24,1695,229,528,943,420,15,187,0,351,1742,3,38,1261,113,0,12,253,413,29,0,1033,730,161.0,0.0,14,45,4,19,19,0,10,10,0,0,13,7,8,0,492
2013,13,Brooklyn,139,8,1663,197,568,917,361,14,147,0,323,1684,6,40,1200,128,0,18,223,392,36,0,1092,605,132.0,0.0,23,49,7,28,19,0,13,9,0,0,9,5,9,0,414
2013,14,Brooklyn,146,11,1772,253,554,1006,458,15,149,0,362,1820,6,46,1367,103,0,15,269,376,50,0,1062,673,198.0,0.0,19,55,11,42,18,2,12,9,0,0,15,8,7,0,469
2013,15,Brooklyn,152,17,1861,295,617,1052,437,19,200,0,420,1905,2,56,1422,124,0,17,283,421,53,0,1242,727,234.0,0.0,16,53,7,15,23,0,16,10,0,0,20,6,13,0,587
2013,16,Brooklyn,130,20,2138,222,666,1140,455,23,226,0,399,2111,2,72,1487,140,0,22,312,475,62,0,1230,813,191.0,0.0,23,52,7,25,28,0,18,12,1,0,17,9,20,0,510
2013,17,Brooklyn,168,12,1889,290,634,1033,456,17,219,0,386,1973,7,48,1450,103,0,24,303,424,60,0,1320,761,196.0,1.0,18,64,12,24,22,0,6,12,0,0,15,5,12,3,518
2013,18,Brooklyn,154,9,1938,226,643,1010,450,19,205,0,368,1959,3,63,1385,135,0,17,280,444,55,0,1372,810,217.0,0.0,20,68,6,30,33,0,11,13,0,0,18,10,11,2,553
2013,19,Brooklyn,176,13,1874,263,580,1075,482,12,177,0,383,1943,4,74,1411,121,0,9,284,423,72,0,1417,772,232.0,0.0,16,62,6,47,31,1,16,9,1,0,12,10,11,0,573
2013,20,Brooklyn,150,11,1889,227,582,1023,418,25,229,0,386,1891,4,44,1399,125,0,27,259,419,72,0,1477,781,154.0,1.0,21,78,5,29,22,1,15,10,1,0,11,6,11,0,479
2013,21,Brooklyn,131,19,1833,242,557,1020,416,29,203,0,350,1875,5,59,1383,98,0,25,244,411,62,0,1402,795,248.0,0.0,21,53,5,41,27,1,19,14,0,0,30,7,9,0,543
2013,22,Brooklyn,131,11,1715,200,554,932,368,21,182,0,343,1714,2,56,1250,109,0,22,250,368,82,0,2027,847,206.0,2.0,17,66,7,36,29,0,14,16,0,0,31,4,8,0,580
2013,23,Brooklyn,140,10,1755,188,578,892,393,12,218,0,356,1737,3,47,1290,128,0,13,232,380,73,0,1587,866,220.0,0.0,15,46,10,27,54,1,19,15,0,0,20,9,15,0,582
2013,24,Brooklyn,155,12,1699,209,523,953,390,15,194,0,356,1719,1,46,1279,89,0,15,233,412,65,0,1872,854,229.0,0.0,22,58,8,29,32,1,15,7,0,0,14,9,10,0,567
2013,25,Brooklyn,157,8,1778,195,587,976,388,15,172,0,368,1770,4,58,1309,112,0,18,255,382,90,0,1814,850,245.0,0.0,23,77,11,40,43,1,19,14,0,0,19,13,9,1,601
2013,26,Brooklyn,133,14,1699,162,543,901,401,18,145,0,326,1682,4,51,1252,97,0,11,240,353,100,0,1340,807,227.0,0.0,12,69,7,29,31,0,22,6,0,0,15,4,13,0,527
2013,27,Brooklyn,146,10,1716,174,589,894,400,26,137,0,328,1718,2,53,1269,101,0,21,226,374,79,0,1627,677,242.0,0.0,15,66,9,27,18,1,20,13,0,0,14,7,12,0,542
2013,28,Brooklyn,131,30,1732,236,579,915,443,18,174,0,387,1742,3,62,1313,135,0,15,223,378,100,0,1103,745,183.0,0.0,22,61,7,33,25,1,17,7,0,0,15,3,8,0,517
2013,29,Brooklyn,138,6,1749,229,599,971,379,16,157,0,366,1756,1,42,1333,125,0,10,234,377,81,0,1025,706,251.0,0.0,15,59,12,38,33,0,19,15,0,0,14,2,16,0,512
2013,30,Brooklyn,165,9,1766,232,561,1044,406,12,149,0,365,1807,2,62,1338,131,0,20,221,398,88,0,1368,695,221.0,0.0,21,45,10,29,17,0,20,6,0,0,11,7,9,0,516
2013,31,Brooklyn,140,10,1834,253,623,989,459,22,144,0,384,1853,1,65,1313,141,0,23,278,416,91,0,1490,801,223.0,0.0,13,63,10,21,34,0,14,11,0,0,17,4,9,1,501
2013,32,Brooklyn,163,19,1770,257,603,1009,419,33,145,0,342,1867,4,55,1344,112,0,17,249,428,92,0,1575,654,182.0,2.0,21,41,13,34,21,0,15,11,0,0,20,8,6,1,459
2013,33,Brooklyn,139,16,1869,219,608,1014,445,22,154,0,378,1865,2,59,1374,111,0,21,249,427,85,0,1752,697,225.0,1.0,20,56,11,27,25,0,28,16,0,0,15,10,9,0,477
2013,34,Brooklyn,126,7,1687,217,585,917,373,14,148,0,350,1687,2,57,1239,103,0,20,250,366,90,0,1826,735,227.0,1.0,16,43,9,30,42,0,19,12,0,0,11,10,8,0,509
2013,35,Brooklyn,124,7,1608,196,526,909,356,15,129,0,344,1591,4,57,1170,116,0,28,233,327,100,0,1690,767,236.0,0.0,17,62,7,24,26,0,10,14,1,0,15,5,14,0,517
2013,36,Brooklyn,138,29,1624,230,563,895,397,19,147,0,328,1693,6,53,1259,119,0,12,237,335,79,0,1939,741,251.0,0.0,20,68,8,35,24,1,13,15,0,0,19,6,8,0,467
2013,37,Brooklyn,141,6,1578,220,529,908,361,10,137,0,328,1617,3,58,1182,101,0,14,238,349,103,0,1327,953,243.0,1.0,21,63,6,34,26,0,21,10,0,0,16,11,10,1,562
2013,38,Brooklyn,171,6,1726,245,577,965,401,15,190,0,357,1791,3,50,1349,115,0,7,217,407,78,0,1283,760,208.0,2.0,17,71,6,31,22,0,17,8,0,0,19,8,6,0,477
2013,39,Brooklyn,133,19,1638,216,534,953,345,21,153,0,307,1699,8,44,1233,116,0,19,211,375,69,0,1546,820,171.0,0.0,14,53,8,28,24,0,16,13,0,0,7,8,7,0,472
2013,40,Brooklyn,157,18,1847,235,586,1060,431,21,159,0,378,1879,2,73,1399,131,0,17,246,389,86,0,1309,931,202.0,0.0,15,65,4,32,33,1,22,10,0,0,10,7,8,0,516
2013,41,Brooklyn,155,15,1789,224,557,944,473,27,182,0,358,1825,4,62,1364,123,0,12,239,379,86,0,1208,822,190.0,1.0,20,67,7,34,22,0,17,11,0,0,21,5,13,0,521
2013,42,Brooklyn,124,4,1503,217,482,830,372,11,153,0,311,1537,4,50,1139,90,0,16,230,319,66,0,1283,790,186.0,1.0,21,59,9,28,21,0,22,6,0,0,10,13,9,0,455
2013,43,Brooklyn,123,11,1685,239,526,952,391,18,171,0,364,1694,1,56,1308,107,0,16,199,371,55,0,1088,853,200.0,1.0,17,64,9,40,34,1,11,9,2,0,5,8,15,0,532
2013,44,Brooklyn,144,10,1616,191,513,890,369,23,166,0,361,1600,4,42,1195,96,0,7,266,351,67,0,1326,934,232.0,1.0,20,59,9,39,37,3,20,10,0,0,20,11,11,0,468
2013,45,Brooklyn,161,8,1637,243,523,939,408,27,152,0,324,1725,6,56,1248,89,0,10,244,396,44,0,1011,861,187.0,0.0,23,79,6,34,31,0,25,13,0,0,17,9,14,0,519
2013,46,Brooklyn,135,12,1723,214,549,951,410,20,154,0,366,1718,3,62,1229,105,0,10,238,437,50,0,1041,886,186.0,0.0,22,47,5,37,31,0,17,9,1,0,13,10,11,0,492
2013,47,Brooklyn,135,22,1692,206,540,925,408,21,161,0,362,1693,1,63,1254,117,0,13,245,362,48,0,968,911,176.0,0.0,18,68,12,34,33,0,16,11,0,0,18,6,14,0,510
2013,48,Brooklyn,101,9,1243,143,415,677,301,13,90,0,253,1243,7,51,858,75,0,11,207,287,41,0,1039,771,193.0,1.0,12,60,16,36,33,0,16,11,0,0,14,7,9,0,540
2013,49,Brooklyn,133,7,1609,218,508,902,407,21,129,0,337,1630,4,37,1213,114,0,11,237,351,60,0,1043,928,191.0,0.0,14,49,14,36,27,0,21,12,0,0,11,11,10,1,483
2013,50,Brooklyn,102,16,1459,191,455,840,325,13,135,0,301,1467,7,55,1026,106,0,11,225,338,34,0,891,802,149.0,1.0,15,57,14,36,40,2,13,10,1,0,18,10,8,1,500
2013,51,Brooklyn,117,11,1496,195,439,867,357,16,140,0,305,1514,2,46,1096,82,0,22,221,350,55,0,1073,903,169.0,0.0,21,62,9,45,39,0,21,11,0,0,12,7,11,0,559
2013,52,Brooklyn,97,6,1152,109,332,674,261,13,84,0,218,1146,4,32,818,67,0,4,172,267,21,0,1101,806,152.0,1.0,13,39,6,27,28,0,13,6,0,0,16,9,7,0,452
2014,1,Brooklyn,89,2,1067,161,331,600,264,18,106,0,214,1105,3,40,767,61,0,7,202,239,94,0,1318,1101,116.0,1.0,21,50,6,25,22,0,19,12,0,0,13,12,13,0,419
2014,2,Brooklyn,126,15,1647,268,541,945,401,23,146,0,321,1735,4,62,1246,107,0,13,230,394,110,0,938,829,124.0,1.0,22,50,8,40,32,0,21,9,1,0,15,5,6,0,456
2014,3,Brooklyn,143,15,1787,226,582,964,433,12,180,0,322,1849,3,58,1287,114,0,20,274,415,69,0,1082,900,186.0,0.0,16,68,7,33,17,1,15,9,0,0,11,6,10,0,440
2014,4,Brooklyn,121,7,1455,201,449,870,341,13,111,0,282,1502,4,53,1052,117,0,13,214,331,100,0,1061,772,121.0,0.0,12,66,7,24,39,1,18,15,0,0,6,13,15,0,509
2014,5,Brooklyn,141,17,1623,168,476,916,425,21,111,0,333,1616,4,53,1181,75,0,12,229,395,109,0,1124,968,144.0,2.0,24,68,12,46,29,0,21,11,0,0,16,11,11,2,452
2014,6,Brooklyn,122,10,1703,242,544,988,411,9,125,0,366,1711,3,70,1198,93,0,13,277,423,84,0,1025,1190,127.0,0.0,16,47,14,33,31,0,15,10,0,0,7,11,8,0,539
2014,7,Brooklyn,103,13,1607,220,488,895,388,18,154,0,324,1619,3,56,1134,95,0,14,277,364,94,0,1007,1258,113.0,0.0,16,67,9,27,31,0,13,14,0,0,12,7,6,1,513
2014,8,Brooklyn,156,5,1830,256,560,1072,462,26,127,0,351,1896,3,59,1310,115,0,22,329,409,92,0,1206,1121,126.0,0.0,26,51,8,27,25,1,24,8,1,0,13,5,7,0,421
2014,9,Brooklyn,133,19,1737,204,546,973,427,12,135,0,349,1744,5,62,1249,120,0,6,233,418,103,0,995,1056,117.0,0.0,24,48,6,32,29,1,20,10,0,0,11,7,7,1,446
2014,10,Brooklyn,139,16,1885,289,569,1077,475,24,184,0,370,1959,5,65,1355,134,0,16,277,477,99,0,1096,995,125.0,0.0,15,55,4,26,27,0,15,3,0,0,17,8,14,0,437
2014,11,Brooklyn,140,14,1906,290,602,1064,457,31,196,0,366,1984,4,64,1419,134,0,15,304,410,82,0,1213,1054,115.0,0.0,6,38,3,17,19,1,14,4,0,0,5,4,5,0,284
2014,12,Brooklyn,166,13,1975,248,640,1107,471,13,171,0,414,1988,2,63,1430,120,0,21,332,434,94,0,1307,1092,151.0,0.0,18,49,4,34,32,0,22,5,0,0,10,10,8,0,405
2014,13,Brooklyn,153,14,1747,215,567,1001,387,17,157,0,379,1750,1,46,1260,119,0,10,261,432,80,0,1062,1038,158.0,0.0,22,46,2,39,35,0,20,12,0,0,11,6,14,0,426
2014,14,Brooklyn,151,13,1948,253,561,1115,529,16,144,0,359,2006,0,52,1417,98,0,16,306,476,99,0,1166,986,176.0,0.0,26,72,8,29,36,1,9,5,0,0,17,13,12,1,469
2014,15,Brooklyn,125,26,2033,266,656,1113,426,23,232,0,389,2061,4,75,1459,120,0,28,315,449,111,0,1439,1026,193.0,0.0,14,59,14,31,32,0,14,14,0,0,14,7,12,0,542
2014,16,Brooklyn,99,11,1625,253,529,914,388,18,139,0,310,1678,2,53,1180,93,0,14,247,399,97,0,1407,797,163.0,0.0,14,39,4,24,21,0,17,10,1,0,16,6,13,1,376
2014,17,Brooklyn,148,16,1826,230,569,1049,414,19,169,0,381,1839,2,47,1322,114,0,18,274,443,85,0,1536,891,161.0,1.0,15,52,9,33,31,0,26,10,0,0,17,11,10,0,416
2014,18,Brooklyn,132,16,1622,214,512,959,373,21,119,0,334,1650,4,60,1214,96,0,15,240,355,107,0,1401,976,161.0,2.0,26,87,9,40,29,1,22,9,1,0,17,9,14,0,475
2014,19,Brooklyn,156,9,1905,274,600,1033,524,21,166,0,394,1950,4,58,1411,133,0,18,305,415,160,0,1820,1008,170.0,1.0,27,71,12,27,40,0,18,10,0,0,23,2,7,0,490
2014,20,Brooklyn,139,6,1901,278,595,1108,437,16,168,0,374,1950,3,53,1433,123,0,19,279,414,148,0,1937,1084,171.0,0.0,34,85,7,46,49,1,32,12,0,0,15,10,13,2,434
2014,21,Brooklyn,127,10,1846,189,613,966,390,26,177,0,384,1788,2,52,1309,89,0,18,310,392,137,0,2059,1117,178.0,2.0,27,62,8,27,25,0,16,12,0,0,18,6,9,0,511
2014,22,Brooklyn,136,12,1703,196,543,916,404,5,179,0,388,1659,2,40,1248,119,0,14,244,380,146,0,2693,1044,174.0,1.0,18,69,8,29,34,0,20,17,1,0,18,12,10,0,496
2014,23,Brooklyn,134,15,1811,243,575,999,440,14,175,0,376,1827,2,73,1302,104,0,19,303,400,144,0,2475,1066,217.0,0.0,24,79,8,30,30,1,13,18,0,0,14,17,11,0,525
2014,24,Brooklyn,172,12,1775,232,599,981,437,19,155,0,366,1825,3,62,1309,146,0,15,266,390,130,0,2450,1176,215.0,1.0,19,81,12,35,40,1,20,18,0,0,16,13,13,0,493
2014,25,Brooklyn,146,6,1850,204,539,1031,434,20,182,0,357,1849,3,53,1421,102,0,10,253,364,159,0,2312,1203,175.0,0.0,26,76,9,40,38,0,34,18,1,0,12,12,19,1,512
2014,26,Brooklyn,136,6,1775,181,524,1000,396,22,156,0,326,1772,8,65,1259,114,0,22,257,373,204,0,2210,1175,217.0,0.0,18,93,9,37,33,1,24,13,1,0,16,13,9,0,505
2014,27,Brooklyn,155,9,1759,197,549,993,428,22,128,0,329,1791,3,53,1331,121,0,7,243,362,196,0,2387,931,205.0,1.0,15,75,12,36,43,0,24,10,0,0,20,10,13,1,472
2014,28,Brooklyn,141,5,1826,212,571,1006,445,18,144,0,341,1843,5,47,1370,102,0,17,295,348,179,0,1767,1062,203.0,1.0,19,80,7,36,35,0,36,10,2,0,16,11,10,0,442
2014,29,Brooklyn,112,12,1905,263,555,1100,467,15,155,0,375,1917,3,53,1459,107,0,18,273,379,167,0,1942,989,174.0,0.0,19,69,11,32,40,0,18,9,0,0,7,15,6,0,450
2014,30,Brooklyn,153,13,1804,216,595,1005,438,21,127,0,396,1790,3,59,1408,98,0,16,226,376,183,0,1935,1086,192.0,0.0,26,66,7,39,36,1,24,10,0,0,13,9,11,0,472
2014,31,Brooklyn,117,5,1835,229,567,982,458,19,160,0,366,1820,3,53,1404,116,0,6,234,370,148,0,2156,914,218.0,0.0,18,74,11,43,46,0,21,11,1,0,17,13,8,0,471
2014,32,Brooklyn,170,5,1885,211,613,1049,435,14,160,0,360,1911,5,58,1467,111,0,13,247,370,143,0,2099,955,197.0,0.0,20,94,12,31,37,0,25,7,1,0,19,17,8,0,397
2014,33,Brooklyn,129,17,1915,181,632,994,433,24,159,0,400,1842,5,60,1396,100,0,9,263,409,124,0,2245,971,188.0,0.0,31,71,11,47,49,0,24,11,0,0,14,9,11,0,391
2014,34,Brooklyn,101,13,1889,202,565,1064,426,19,131,0,373,1832,5,67,1359,93,0,12,260,409,163,0,2393,956,156.0,0.0,27,72,4,41,33,1,13,8,0,0,9,8,11,0,399
2014,35,Brooklyn,114,14,1677,146,535,897,379,14,126,0,344,1607,3,39,1234,101,0,10,236,328,147,0,2442,1083,192.0,0.0,33,93,11,41,51,1,29,12,0,0,19,8,13,1,388
2014,36,Brooklyn,135,7,1728,204,533,977,429,16,119,0,360,1714,6,55,1308,97,0,11,231,366,132,0,2108,1302,199.0,0.0,30,96,17,63,34,0,16,13,0,0,21,10,23,0,472
2014,37,Brooklyn,140,11,1764,237,541,1021,417,27,146,0,370,1782,3,55,1362,79,0,16,238,399,155,0,1861,1325,224.0,0.0,29,88,13,39,52,1,18,13,0,0,11,18,10,0,470
2014,38,Brooklyn,137,6,1822,240,569,1054,406,27,149,0,366,1839,7,73,1344,94,0,16,289,382,143,0,2196,1288,221.0,0.0,20,88,6,38,49,0,35,11,0,0,18,10,16,1,455
2014,39,Brooklyn,139,15,1589,165,510,892,373,16,117,0,346,1562,3,56,1172,94,0,14,239,330,144,0,2026,1109,187.0,0.0,29,76,8,47,58,1,26,21,0,0,16,11,14,0,419
2014,40,Brooklyn,137,12,1734,212,535,958,424,15,163,0,369,1726,4,58,1323,90,0,12,257,351,182,0,1795,1262,178.0,0.0,23,74,8,52,48,1,26,14,1,0,18,11,12,0,418
2014,41,Brooklyn,141,13,1865,251,560,1079,448,18,165,0,345,1925,1,72,1347,120,0,14,282,434,149,0,1796,1082,201.0,0.0,21,81,8,49,49,1,24,18,0,0,28,10,17,0,374
2014,42,Brooklyn,145,11,1884,199,584,1019,480,15,141,0,354,1885,2,57,1428,96,0,12,288,356,151,0,1721,1036,180.0,0.0,29,72,9,30,43,0,22,13,0,0,21,18,16,0,367
2014,43,Brooklyn,120,5,1645,158,491,911,366,18,142,0,341,1587,1,48,1163,83,0,11,268,354,146,0,1606,1304,193.0,0.0,31,100,11,43,44,0,24,12,0,0,16,14,15,0,472
2014,44,Brooklyn,127,19,1461,129,452,797,325,19,143,0,321,1415,1,51,1054,72,0,21,185,352,130,0,1460,1349,190.0,0.0,22,86,9,44,45,1,20,19,0,0,26,13,11,0,468
2014,45,Brooklyn,160,11,1577,188,482,923,346,24,161,0,347,1589,2,72,1155,86,0,11,241,369,89,0,1389,1329,161.0,0.0,24,82,8,42,39,0,21,12,0,0,12,11,13,0,456
2014,46,Brooklyn,118,10,1624,227,505,896,401,15,162,0,347,1632,2,66,1178,79,0,17,259,378,118,0,1492,1285,169.0,0.0,26,76,3,38,33,0,30,17,2,0,22,14,13,0,402
2014,47,Brooklyn,106,11,1537,211,429,869,380,26,161,0,304,1561,3,60,1103,96,0,11,240,352,116,0,1459,1388,179.0,0.0,24,77,10,50,33,0,28,15,0,0,20,17,18,0,453
2014,48,Brooklyn,78,8,1121,127,318,651,264,10,91,0,247,1087,0,45,752,77,0,8,209,243,98,0,1487,1184,116.0,1.0,29,64,5,21,40,0,18,13,2,0,16,6,12,1,400
2014,49,Brooklyn,89,23,1212,148,359,662,311,19,121,0,288,1184,2,55,806,78,0,18,221,292,105,0,1249,1368,145.0,0.0,24,93,4,39,37,0,20,15,0,0,17,26,17,0,405
2014,50,Brooklyn,102,9,1182,169,383,660,290,19,110,0,280,1182,3,44,879,59,0,11,171,295,110,0,1291,1285,170.0,0.0,27,88,8,39,32,0,28,20,0,0,21,16,13,0,421
2014,51,Brooklyn,60,13,1214,132,401,599,288,10,121,0,268,1151,4,37,806,49,0,9,236,278,109,0,1290,1337,155.0,0.0,24,81,8,41,40,1,21,12,0,0,15,13,17,0,413
2014,52,Brooklyn,21,7,412,4,126,210,74,3,31,0,98,346,3,17,266,20,0,2,60,76,76,0,1504,1112,158.0,0.0,25,78,10,31,26,1,22,24,0,0,13,7,17,0,348
2015,1,Brooklyn,19,7,344,12,93,183,70,6,30,0,66,316,1,9,228,16,0,2,64,62,48,0,1015,620,65.0,0.0,8,34,4,13,15,0,8,7,0,0,3,12,7,0,200
2015,2,Brooklyn,52,13,977,112,302,526,214,8,104,0,219,935,2,37,717,50,0,5,154,189,131,0,1146,1117,151.0,1.0,19,77,11,39,56,0,23,20,0,0,17,25,10,1,363
2015,3,Brooklyn,117,15,1353,251,492,770,310,11,153,0,305,1431,4,50,1089,67,0,14,199,313,95,0,1176,1066,130.0,0.0,27,78,7,35,35,0,25,24,0,0,16,8,19,0,370
2015,4,Brooklyn,111,8,1608,229,504,887,359,26,180,0,310,1646,1,51,1183,98,0,9,260,354,116,0,1328,1183,103.0,0.0,24,71,6,33,39,0,22,9,1,0,12,10,11,0,409
2015,5,Brooklyn,98,8,1206,204,360,732,306,8,110,0,253,1263,4,35,943,76,0,11,182,265,142,0,1203,1078,70.0,0.0,24,69,11,33,35,0,25,20,0,0,11,11,6,0,338
2015,6,Brooklyn,132,11,1503,204,436,871,389,19,135,0,302,1548,2,39,1113,90,0,13,241,352,121,0,1154,1304,127.0,0.0,28,72,11,33,53,0,26,20,0,0,13,16,16,0,458
2015,7,Brooklyn,121,9,1464,216,461,871,346,15,117,0,309,1501,1,52,1065,82,0,12,230,368,124,0,1104,1169,109.0,0.0,22,93,9,31,45,0,29,14,0,0,18,10,14,1,366
2015,8,Brooklyn,109,11,1411,206,417,879,339,10,92,0,267,1470,2,44,1007,73,0,11,221,379,87,0,1300,1050,83.0,0.0,26,82,13,40,30,1,27,15,0,0,13,18,10,0,364
2015,9,Brooklyn,109,8,1510,210,394,880,420,12,131,0,289,1548,0,46,1127,76,0,15,249,324,112,0,1277,1348,78.0,1.0,19,51,2,17,32,0,21,10,2,0,16,6,8,0,277
2015,10,Brooklyn,134,9,1452,189,403,792,366,13,210,0,295,1489,6,57,1122,61,0,16,209,313,91,0,1253,1431,117.0,0.0,35,98,6,32,57,1,27,33,0,0,20,19,9,0,495
2015,11,Brooklyn,127,19,1673,254,500,972,420,13,168,0,341,1732,3,46,1221,94,0,23,301,385,100,0,1398,1561,151.0,1.0,23,83,9,48,54,2,27,10,0,0,13,12,17,0,407
2015,12,Brooklyn,92,16,1548,218,436,944,363,13,118,0,304,1570,0,60,1098,80,0,13,251,372,90,0,1386,1396,123.0,0.0,27,72,14,35,41,0,24,10,0,0,20,13,13,1,387
2015,13,Brooklyn,103,12,1535,197,470,866,340,17,154,0,283,1564,3,62,1082,84,0,12,270,334,96,0,1396,1431,120.0,0.0,28,81,9,54,47,1,43,13,0,0,20,11,17,0,370
2015,14,Brooklyn,109,37,1543,184,453,911,349,20,140,0,340,1533,3,66,1153,101,0,13,247,290,97,0,1489,1196,151.0,0.0,26,75,12,43,40,0,23,21,0,0,22,6,11,0,371
2015,15,Brooklyn,122,10,1512,206,418,903,373,14,142,0,286,1564,1,66,1139,86,0,11,231,316,104,0,1687,1032,130.0,1.0,29,66,9,40,34,1,25,22,1,0,15,8,7,0,359
2015,16,Brooklyn,134,12,1694,189,501,985,379,16,148,0,341,1688,3,53,1211,86,0,17,285,374,139,0,2093,1396,167.0,0.0,33,78,5,47,32,1,35,22,0,0,23,16,12,0,427
2015,17,Brooklyn,86,17,1689,180,523,886,378,12,173,0,309,1663,3,45,1203,87,0,15,225,394,125,0,1843,1397,187.0,0.0,25,94,15,50,57,1,23,28,0,0,15,12,15,0,418
2015,18,Brooklyn,101,9,1496,216,462,838,345,13,164,0,316,1506,1,40,1110,78,0,14,237,342,117,0,2106,1448,151.0,1.0,22,94,2,39,55,1,23,33,0,0,18,5,18,0,425
2015,19,Brooklyn,117,8,1463,252,475,871,333,15,146,0,299,1541,3,69,1113,114,0,14,225,302,178,0,2784,1441,182.0,1.0,28,103,12,52,49,1,32,30,1,0,25,9,14,0,433
2015,20,Brooklyn,127,18,1663,252,489,983,381,19,188,0,303,1757,1,58,1259,90,0,19,288,345,146,0,2160,1522,220.0,0.0,41,96,18,36,66,1,22,29,0,0,34,11,15,0,437
2015,21,Brooklyn,98,22,1514,196,464,885,343,16,122,0,314,1516,2,61,1111,72,0,29,245,310,140,0,2418,1444,161.0,0.0,34,107,12,55,43,0,21,18,0,0,21,6,15,1,396
