Felony,Misdemeanor,Violation,year_week_borough
522,1467,239,2014_29_Manhattan
400,1457,199,2014_30_Manhattan
374,1355,259,2014_31_Manhattan
448,1502,230,2014_32_Manhattan
382,1442,223,2014_33_Manhattan
459,1328,199,2014_34_Manhattan
369,1329,159,2014_35_Manhattan
406,1390,235,2014_36_Manhattan
393,1408,215,2014_37_Manhattan
433,1381,233,2014_38_Manhattan
294,1108,266,2014_39_Manhattan
398,1343,189,2014_40_Manhattan
433,1494,234,2014_41_Manhattan
448,1537,218,2014_42_Manhattan
426,1435,209,2014_43_Manhattan
437,1247,185,2014_44_Manhattan
453,1358,206,2014_45_Manhattan
449,1408,237,2014_46_Manhattan
432,1365,241,2014_47_Manhattan
261,993,145,2014_48_Manhattan
299,972,380,2014_49_Manhattan
365,1064,130,2014_50_Manhattan
317,989,109,2014_51_Manhattan
136,288,7,2014_52_Manhattan
107,212,3,2015_1_Manhattan
338,705,96,2015_2_Manhattan
477,1334,209,2015_3_Manhattan
462,1418,240,2015_4_Manhattan
337,1046,178,2015_5_Manhattan
378,1189,201,2015_6_Manhattan
452,1326,194,2015_7_Manhattan
357,1263,162,2015_8_Manhattan
428,1254,195,2015_9_Manhattan
377,1167,188,2015_10_Manhattan
403,1423,236,2015_11_Manhattan
409,1335,205,2015_12_Manhattan
360,1333,191,2015_13_Manhattan
353,1259,189,2015_14_Manhattan
374,1251,200,2015_15_Manhattan
456,1275,271,2015_16_Manhattan
431,1285,211,2015_17_Manhattan
356,1092,245,2015_18_Manhattan
345,1027,165,2015_19_Manhattan
398,1333,210,2015_20_Manhattan
362,1319,140,2015_21_Manhattan
391,1234,160,2015_22_Manhattan
389,1315,211,2015_23_Manhattan
381,1364,199,2015_24_Manhattan
439,1207,232,2015_25_Manhattan
380,1117,171,2015_26_Manhattan
406,1178,177,2015_27_Manhattan
424,1202,176,2015_28_Manhattan
417,1221,252,2015_29_Manhattan
402,1277,183,2015_30_Manhattan
431,1155,177,2015_31_Manhattan
412,1376,243,2015_32_Manhattan
422,1315,219,2015_33_Manhattan
521,1279,220,2015_34_Manhattan
444,1297,194,2015_35_Manhattan
482,1338,163,2015_36_Manhattan
396,1113,184,2015_37_Manhattan
469,1402,196,2015_38_Manhattan
398,1094,151,2015_39_Manhattan
436,1105,155,2015_40_Manhattan
454,1355,200,2015_41_Manhattan
454,1281,195,2015_42_Manhattan
412,1241,167,2015_43_Manhattan
368,1012,119,2015_44_Manhattan
454,1173,246,2015_45_Manhattan
443,1160,154,2015_46_Manhattan
456,1255,224,2015_47_Manhattan
342,949,129,2015_48_Manhattan
396,1191,184,2015_49_Manhattan
425,1211,180,2015_50_Manhattan
421,1107,149,2015_51_Manhattan
262,707,76,2015_52_Manhattan
163,475,59,2015_53_Manhattan
445,1295,175,2016_1_Manhattan
424,1281,168,2016_2_Manhattan
361,1039,163,2016_3_Manhattan
483,1204,194,2016_4_Manhattan
444,1333,203,2016_5_Manhattan
449,1186,191,2016_6_Manhattan
386,1260,160,2016_7_Manhattan
436,1204,181,2016_8_Manhattan
410,1234,64,2016_9_Manhattan
461,1404,25,2016_10_Manhattan
484,1210,19,2016_11_Manhattan
385,1130,48,2016_12_Manhattan
373,1186,11,2016_13_Manhattan
447,1228,15,2016_14_Manhattan
461,1272,41,2016_15_Manhattan
402,1194,14,2016_16_Manhattan
518,1138,15,2016_17_Manhattan
437,1189,12,2016_18_Manhattan
485,1335,22,2016_19_Manhattan
515,1337,13,2016_20_Manhattan
384,1275,23,2016_21_Manhattan
416,1130,12,2016_22_Manhattan
404,1228,22,2016_23_Manhattan
450,1151,18,2016_24_Manhattan
396,1221,9,2016_25_Manhattan
483,1125,13,2016_26_Manhattan
401,1041,15,2016_27_Manhattan
395,996,10,2016_28_Manhattan
406,1009,7,2016_29_Manhattan
444,934,17,2016_30_Manhattan
455,1121,10,2016_31_Manhattan
396,1073,13,2016_32_Manhattan
415,1142,21,2016_33_Manhattan
447,1244,8,2016_34_Manhattan
435,1201,19,2016_35_Manhattan
411,1128,17,2016_36_Manhattan
401,1250,24,2016_37_Manhattan
399,1040,17,2016_38_Manhattan
411,1067,13,2016_39_Manhattan
405,1227,17,2016_40_Manhattan
423,1246,25,2016_41_Manhattan
449,1265,22,2016_42_Manhattan
444,1148,17,2016_43_Manhattan
418,1106,13,2016_44_Manhattan
300,975,81,2016_45_Manhattan
407,1140,54,2016_46_Manhattan
335,931,14,2016_47_Manhattan
416,1016,48,2016_48_Manhattan
401,1126,18,2016_49_Manhattan
386,1023,11,2016_50_Manhattan
381,827,11,2016_51_Manhattan
256,800,22,2016_52_Manhattan
119,355,36,2016_53_Manhattan
391,963,23,2017_1_Manhattan
385,1111,23,2017_2_Manhattan
391,1169,58,2017_3_Manhattan
419,1203,32,2017_4_Manhattan
403,1100,36,2017_5_Manhattan
409,1014,45,2017_6_Manhattan
360,1161,21,2017_7_Manhattan
364,1029,15,2017_8_Manhattan
400,1201,24,2017_9_Manhattan
424,1211,27,2017_10_Manhattan
280,864,46,2017_11_Manhattan
408,1165,14,2017_12_Manhattan
330,1062,13,2017_13_Manhattan
430,1196,24,2017_14_Manhattan
338,1113,36,2017_15_Manhattan
407,1083,23,2017_16_Manhattan
380,1137,18,2017_17_Manhattan
441,1141,44,2017_18_Manhattan
387,1134,17,2017_19_Manhattan
438,1047,6,2017_20_Manhattan
390,1012,9,2017_21_Manhattan
418,1046,13,2017_22_Manhattan
414,1013,18,2017_23_Manhattan
356,963,13,2017_24_Manhattan
351,1016,39,2017_25_Manhattan
380,971,6,2017_26_Manhattan
340,879,12,2017_27_Manhattan
396,924,7,2017_28_Manhattan
421,1051,8,2017_29_Manhattan
442,1099,12,2017_30_Manhattan
416,1092,15,2017_31_Manhattan
393,1112,17,2017_32_Manhattan
375,936,23,2017_33_Manhattan
330,905,8,2017_34_Manhattan
432,1097,12,2017_35_Manhattan
409,927,56,2017_36_Manhattan
438,1063,17,2017_37_Manhattan
348,900,34,2017_38_Manhattan
377,968,12,2017_39_Manhattan
390,1096,18,2017_40_Manhattan
376,1100,20,2017_41_Manhattan
400,1147,17,2017_42_Manhattan
401,1102,15,2017_43_Manhattan
495,966,26,2017_44_Manhattan
380,1033,18,2017_45_Manhattan
407,1042,13,2017_46_Manhattan
294,844,6,2017_47_Manhattan
420,983,29,2017_48_Manhattan
434,1044,14,2017_49_Manhattan
321,943,32,2017_50_Manhattan
358,874,26,2017_51_Manhattan
277,783,4,2017_52_Manhattan
323,773,6,2018_1_Manhattan
403,1067,34,2018_2_Manhattan
458,1146,22,2018_3_Manhattan
455,1149,18,2018_4_Manhattan
422,1014,25,2018_5_Manhattan
531,874,10,2018_6_Manhattan
449,972,22,2018_7_Manhattan
438,962,25,2018_8_Manhattan
403,918,24,2018_9_Manhattan
391,927,12,2018_10_Manhattan
420,931,16,2018_11_Manhattan
350,848,5,2018_12_Manhattan
370,881,24,2018_13_Manhattan
414,816,14,2018_14_Manhattan
438,876,12,2018_15_Manhattan
437,803,10,2018_16_Manhattan
422,872,28,2018_17_Manhattan
510,822,22,2018_18_Manhattan
409,840,9,2018_19_Manhattan
376,758,8,2018_20_Manhattan
430,756,10,2018_21_Manhattan
437,660,3,2018_22_Manhattan
382,809,10,2018_23_Manhattan
352,743,6,2018_24_Manhattan
378,720,8,2018_25_Manhattan
382,632,4,2018_26_Manhattan
340,674,7,2018_27_Manhattan
361,747,5,2018_28_Manhattan
394,779,9,2018_29_Manhattan
391,829,14,2018_30_Manhattan
427,713,9,2018_31_Manhattan
362,774,3,2018_32_Manhattan
383,708,3,2018_33_Manhattan
397,716,42,2018_34_Manhattan
378,821,10,2018_35_Manhattan
313,685,8,2018_36_Manhattan
396,704,4,2018_37_Manhattan
420,743,3,2018_38_Manhattan
314,569,21,2018_39_Manhattan
380,689,3,2018_40_Manhattan
365,727,4,2018_41_Manhattan
398,732,2,2018_42_Manhattan
364,676,8,2018_43_Manhattan
346,662,16,2018_44_Manhattan
356,690,6,2018_45_Manhattan
315,662,3,2018_46_Manhattan
348,635,3,2018_47_Manhattan
378,719,7,2018_48_Manhattan
388,728,5,2018_49_Manhattan
441,665,18,2018_50_Manhattan
349,637,4,2018_51_Manhattan
242,508,13,2018_52_Manhattan
371,1003,92,2012_1_Queens
324,841,87,2012_26_Queens
404,779,99,2012_27_Queens
459,894,125,2012_28_Queens
370,882,130,2012_29_Queens
348,885,145,2012_30_Queens
357,869,174,2012_31_Queens
392,902,158,2012_32_Queens
341,891,135,2012_33_Queens
393,860,124,2012_34_Queens
341,800,98,2012_35_Queens
353,829,120,2012_36_Queens
497,854,113,2012_37_Queens
360,876,126,2012_38_Queens
322,872,92,2012_39_Queens
364,890,107,2012_40_Queens
356,855,110,2012_41_Queens
393,941,122,2012_42_Queens
329,957,96,2012_43_Queens
178,337,22,2012_44_Queens
222,415,20,2012_45_Queens
301,655,72,2012_46_Queens
285,640,69,2012_47_Queens
332,841,78,2012_48_Queens
405,860,79,2012_49_Queens
356,750,86,2012_50_Queens
315,717,73,2012_51_Queens
274,698,51,2012_52_Queens
405,939,77,2013_1_Queens
387,999,123,2013_2_Queens
404,871,84,2013_3_Queens
350,746,87,2013_4_Queens
370,866,74,2013_5_Queens
394,809,103,2013_6_Queens
403,1061,102,2013_7_Queens
388,982,113,2013_8_Queens
404,1033,145,2013_9_Queens
385,991,109,2013_10_Queens
431,938,115,2013_11_Queens
367,946,101,2013_12_Queens
381,914,87,2013_13_Queens
391,936,114,2013_14_Queens
438,942,114,2013_15_Queens
449,1032,116,2013_16_Queens
408,1070,132,2013_17_Queens
387,951,110,2013_18_Queens
512,1015,121,2013_19_Queens
454,1021,120,2013_20_Queens
377,953,95,2013_21_Queens
355,925,128,2013_22_Queens
429,910,94,2013_23_Queens
458,915,118,2013_24_Queens
399,962,117,2013_25_Queens
381,815,115,2013_26_Queens
394,908,102,2013_27_Queens
426,1015,140,2013_28_Queens
416,909,98,2013_29_Queens
436,944,136,2013_30_Queens
360,1022,127,2013_31_Queens
435,947,113,2013_32_Queens
449,1010,122,2013_33_Queens
397,879,115,2013_34_Queens
310,864,99,2013_35_Queens
365,946,110,2013_36_Queens
388,901,100,2013_37_Queens
406,938,112,2013_38_Queens
326,901,102,2013_39_Queens
378,938,117,2013_40_Queens
413,979,106,2013_41_Queens
371,876,71,2013_42_Queens
353,1005,86,2013_43_Queens
412,931,107,2013_44_Queens
393,1004,99,2013_45_Queens
424,996,98,2013_46_Queens
461,1012,88,2013_47_Queens
332,727,68,2013_48_Queens
365,997,97,2013_49_Queens
383,872,77,2013_50_Queens
368,942,70,2013_51_Queens
272,628,45,2013_52_Queens
246,635,63,2014_1_Queens
408,945,96,2014_2_Queens
466,1145,114,2014_3_Queens
318,886,87,2014_4_Queens
395,1036,100,2014_5_Queens
389,943,84,2014_6_Queens
373,870,69,2014_7_Queens
426,1071,122,2014_8_Queens
392,1050,95,2014_9_Queens
416,1163,96,2014_10_Queens
390,1168,102,2014_11_Queens
352,1137,98,2014_12_Queens
378,951,89,2014_13_Queens
393,1066,113,2014_14_Queens
397,986,130,2014_15_Queens
325,1028,102,2014_16_Queens
370,1049,111,2014_17_Queens
389,942,98,2014_18_Queens
458,1034,128,2014_19_Queens
434,1021,119,2014_20_Queens
406,1048,109,2014_21_Queens
378,905,105,2014_22_Queens
419,921,108,2014_23_Queens
444,1100,107,2014_24_Queens
398,973,106,2014_25_Queens
359,991,87,2014_26_Queens
359,878,100,2014_27_Queens
403,993,111,2014_28_Queens
392,947,122,2014_29_Queens
337,1109,132,2014_30_Queens
406,1023,116,2014_31_Queens
411,977,130,2014_32_Queens
381,985,126,2014_33_Queens
413,904,130,2014_34_Queens
375,966,113,2014_35_Queens
418,1020,86,2014_36_Queens
393,1000,107,2014_37_Queens
459,1053,113,2014_38_Queens
335,853,89,2014_39_Queens
383,1037,104,2014_40_Queens
420,1042,106,2014_41_Queens
459,1082,99,2014_42_Queens
430,961,86,2014_43_Queens
405,854,95,2014_44_Queens
419,886,84,2014_45_Queens
370,962,80,2014_46_Queens
413,904,94,2014_47_Queens
283,719,66,2014_48_Queens
324,671,60,2014_49_Queens
326,676,74,2014_50_Queens
327,720,54,2014_51_Queens
136,272,6,2014_52_Queens
108,193,1,2015_1_Queens
343,555,33,2015_2_Queens
362,844,67,2015_3_Queens
385,800,67,2015_4_Queens
315,697,60,2015_5_Queens
460,796,89,2015_6_Queens
425,919,92,2015_7_Queens
339,777,77,2015_8_Queens
372,860,103,2015_9_Queens
368,783,109,2015_10_Queens
442,899,93,2015_11_Queens
370,840,83,2015_12_Queens
392,866,88,2015_13_Queens
340,817,79,2015_14_Queens
335,862,69,2015_15_Queens
402,928,76,2015_16_Queens
390,896,92,2015_17_Queens
403,825,80,2015_18_Queens
314,671,84,2015_19_Queens
369,867,99,2015_20_Queens
398,856,91,2015_21_Queens
376,857,87,2015_22_Queens
386,824,74,2015_23_Queens
401,882,88,2015_24_Queens
359,840,70,2015_25_Queens
326,798,69,2015_26_Queens
349,794,69,2015_27_Queens
424,747,66,2015_28_Queens
423,807,79,2015_29_Queens
375,840,105,2015_30_Queens
315,738,88,2015_31_Queens
516,783,113,2015_32_Queens
451,859,80,2015_33_Queens
395,864,95,2015_34_Queens
417,803,90,2015_35_Queens
395,828,74,2015_36_Queens
376,765,56,2015_37_Queens
402,839,89,2015_38_Queens
361,761,72,2015_39_Queens
342,728,87,2015_40_Queens
437,801,84,2015_41_Queens
396,873,55,2015_42_Queens
421,803,87,2015_43_Queens
292,647,67,2015_44_Queens
383,665,83,2015_45_Queens
402,795,61,2015_46_Queens
435,811,71,2015_47_Queens
291,683,47,2015_48_Queens
414,765,78,2015_49_Queens
407,764,78,2015_50_Queens
327,707,80,2015_51_Queens
267,527,24,2015_52_Queens
128,362,26,2015_53_Queens
386,763,67,2016_1_Queens
388,767,59,2016_2_Queens
306,659,48,2016_3_Queens
351,678,59,2016_4_Queens
396,759,68,2016_5_Queens
341,692,64,2016_6_Queens
427,768,59,2016_7_Queens
365,819,75,2016_8_Queens
419,802,39,2016_9_Queens
410,837,40,2016_10_Queens
451,781,33,2016_11_Queens
342,719,22,2016_12_Queens
363,795,40,2016_13_Queens
385,752,25,2016_14_Queens
418,821,43,2016_15_Queens
361,757,38,2016_16_Queens
298,714,26,2016_17_Queens
363,784,48,2016_18_Queens
430,928,51,2016_19_Queens
408,814,53,2016_20_Queens
398,803,58,2016_21_Queens
390,779,73,2016_22_Queens
395,773,45,2016_23_Queens
369,732,48,2016_24_Queens
328,769,55,2016_25_Queens
311,782,44,2016_26_Queens
364,697,43,2016_27_Queens
410,647,35,2016_28_Queens
335,664,54,2016_29_Queens
351,688,36,2016_30_Queens
398,660,45,2016_31_Queens
365,681,47,2016_32_Queens
375,727,35,2016_33_Queens
395,740,47,2016_34_Queens
327,653,34,2016_35_Queens
372,614,44,2016_36_Queens
370,701,37,2016_37_Queens
398,632,35,2016_38_Queens
348,643,29,2016_39_Queens
413,752,53,2016_40_Queens
416,732,55,2016_41_Queens
337,791,55,2016_42_Queens
390,766,30,2016_43_Queens
413,719,39,2016_44_Queens
295,559,19,2016_45_Queens
356,736,37,2016_46_Queens
303,647,29,2016_47_Queens
379,679,44,2016_48_Queens
376,713,33,2016_49_Queens
345,600,24,2016_50_Queens
307,590,19,2016_51_Queens
262,535,19,2016_52_Queens
125,273,8,2016_53_Queens
362,649,21,2017_1_Queens
376,726,28,2017_2_Queens
384,783,41,2017_3_Queens
364,747,26,2017_4_Queens
410,740,44,2017_5_Queens
385,652,35,2017_6_Queens
366,699,29,2017_7_Queens
361,682,39,2017_8_Queens
349,769,43,2017_9_Queens
466,789,45,2017_10_Queens
285,595,15,2017_11_Queens
403,713,49,2017_12_Queens
378,688,43,2017_13_Queens
414,801,50,2017_14_Queens
356,782,51,2017_15_Queens
362,799,43,2017_16_Queens
361,670,35,2017_17_Queens
349,734,35,2017_18_Queens
359,750,38,2017_19_Queens
362,719,37,2017_20_Queens
324,693,24,2017_21_Queens
339,652,30,2017_22_Queens
348,675,21,2017_23_Queens
364,684,21,2017_24_Queens
361,646,19,2017_25_Queens
338,676,15,2017_26_Queens
329,663,20,2017_27_Queens
333,650,17,2017_28_Queens
382,714,18,2017_29_Queens
324,685,22,2017_30_Queens
375,682,20,2017_31_Queens
378,674,19,2017_32_Queens
331,644,20,2017_33_Queens
303,665,10,2017_34_Queens
317,604,10,2017_35_Queens
335,595,16,2017_36_Queens
332,627,36,2017_37_Queens
308,627,19,2017_38_Queens
334,630,15,2017_39_Queens
406,666,20,2017_40_Queens
410,682,12,2017_41_Queens
374,647,12,2017_42_Queens
384,696,13,2017_43_Queens
373,642,25,2017_44_Queens
356,654,21,2017_45_Queens
393,721,16,2017_46_Queens
283,612,19,2017_47_Queens
351,671,12,2017_48_Queens
350,673,13,2017_49_Queens
300,607,11,2017_50_Queens
287,557,11,2017_51_Queens
297,539,10,2017_52_Queens
261,529,3,2018_1_Queens
414,607,15,2018_2_Queens
360,767,12,2018_3_Queens
368,689,20,2018_4_Queens
360,694,14,2018_5_Queens
344,687,7,2018_6_Queens
348,671,11,2018_7_Queens
367,630,15,2018_8_Queens
321,619,13,2018_9_Queens
454,658,10,2018_10_Queens
374,660,13,2018_11_Queens
315,620,12,2018_12_Queens
336,590,13,2018_13_Queens
324,647,18,2018_14_Queens
395,617,15,2018_15_Queens
374,633,7,2018_16_Queens
377,653,18,2018_17_Queens
390,664,16,2018_18_Queens
357,648,10,2018_19_Queens
354,578,28,2018_20_Queens
374,606,11,2018_21_Queens
363,559,6,2018_22_Queens
343,556,13,2018_23_Queens
332,564,14,2018_24_Queens
399,647,11,2018_25_Queens
271,538,10,2018_26_Queens
335,597,7,2018_27_Queens
381,655,11,2018_28_Queens
373,599,14,2018_29_Queens
326,605,10,2018_30_Queens
445,532,6,2018_31_Queens
384,596,8,2018_32_Queens
367,579,12,2018_33_Queens
374,552,10,2018_34_Queens
341,555,12,2018_35_Queens
343,581,5,2018_36_Queens
388,571,6,2018_37_Queens
444,584,8,2018_38_Queens
309,438,3,2018_39_Queens
346,506,8,2018_40_Queens
334,594,2,2018_41_Queens
329,527,7,2018_42_Queens
322,531,8,2018_43_Queens
343,544,5,2018_44_Queens
346,545,7,2018_45_Queens
348,544,5,2018_46_Queens
279,442,3,2018_47_Queens
350,587,4,2018_48_Queens
365,559,4,2018_49_Queens
317,577,7,2018_50_Queens
305,483,6,2018_51_Queens
228,429,4,2018_52_Queens
68,220,2,2012_1_Staten island
64,175,0,2012_26_Staten island
70,161,0,2012_27_Staten island
79,179,0,2012_28_Staten island
77,196,0,2012_29_Staten island
72,171,0,2012_30_Staten island
78,206,2,2012_31_Staten island
78,190,0,2012_32_Staten island
72,154,0,2012_33_Staten island
63,174,0,2012_34_Staten island
77,173,1,2012_35_Staten island
56,190,3,2012_36_Staten island
84,185,0,2012_37_Staten island
59,197,0,2012_38_Staten island
92,154,1,2012_39_Staten island
77,173,0,2012_40_Staten island
75,199,0,2012_41_Staten island
90,175,0,2012_42_Staten island
57,196,0,2012_43_Staten island
51,66,0,2012_44_Staten island
27,128,0,2012_45_Staten island
64,139,0,2012_46_Staten island
33,117,2,2012_47_Staten island
83,150,0,2012_48_Staten island
48,118,1,2012_49_Staten island
71,171,0,2012_50_Staten island
57,133,0,2012_51_Staten island
32,125,0,2012_52_Staten island
66,160,0,2013_1_Staten island
82,179,1,2013_2_Staten island
62,163,0,2013_3_Staten island
65,165,0,2013_4_Staten island
68,191,0,2013_5_Staten island
67,135,0,2013_6_Staten island
62,218,2,2013_7_Staten island
57,166,0,2013_8_Staten island
62,146,0,2013_9_Staten island
72,180,0,2013_10_Staten island
87,176,1,2013_11_Staten island
58,167,0,2013_12_Staten island
46,152,1,2013_13_Staten island
46,166,1,2013_14_Staten island
80,161,0,2013_15_Staten island
56,197,0,2013_16_Staten island
60,170,0,2013_17_Staten island
51,150,1,2013_18_Staten island
77,168,0,2013_19_Staten island
97,182,0,2013_20_Staten island
79,178,0,2013_21_Staten island
67,189,0,2013_22_Staten island
60,174,0,2013_23_Staten island
69,163,0,2013_24_Staten island
82,160,1,2013_25_Staten island
66,143,0,2013_26_Staten island
47,177,0,2013_27_Staten island
87,168,0,2013_28_Staten island
111,169,0,2013_29_Staten island
67,184,0,2013_30_Staten island
75,180,0,2013_31_Staten island
95,203,1,2013_32_Staten island
105,190,1,2013_33_Staten island
84,148,0,2013_34_Staten island
68,163,1,2013_35_Staten island
70,158,0,2013_36_Staten island
75,154,0,2013_37_Staten island
88,181,0,2013_38_Staten island
84,198,0,2013_39_Staten island
83,200,2,2013_40_Staten island
80,189,2,2013_41_Staten island
73,158,1,2013_42_Staten island
92,203,1,2013_43_Staten island
72,156,0,2013_44_Staten island
63,181,3,2013_45_Staten island
78,178,0,2013_46_Staten island
103,164,1,2013_47_Staten island
50,136,0,2013_48_Staten island
74,173,0,2013_49_Staten island
73,140,1,2013_50_Staten island
74,167,1,2013_51_Staten island
66,144,0,2013_52_Staten island
67,130,1,2014_1_Staten island
81,187,0,2014_2_Staten island
117,208,1,2014_3_Staten island
84,180,0,2014_4_Staten island
81,212,0,2014_5_Staten island
79,196,0,2014_6_Staten island
43,182,0,2014_7_Staten island
67,200,0,2014_8_Staten island
78,193,1,2014_9_Staten island
104,227,0,2014_10_Staten island
64,233,0,2014_11_Staten island
73,227,1,2014_12_Staten island
71,198,0,2014_13_Staten island
101,221,0,2014_14_Staten island
99,201,1,2014_15_Staten island
60,212,0,2014_16_Staten island
66,220,0,2014_17_Staten island
90,181,0,2014_18_Staten island
92,207,0,2014_19_Staten island
94,232,1,2014_20_Staten island
71,195,0,2014_21_Staten island
70,218,2,2014_22_Staten island
97,213,0,2014_23_Staten island
87,217,0,2014_24_Staten island
81,195,0,2014_25_Staten island
83,198,0,2014_26_Staten island
70,159,0,2014_27_Staten island
84,188,0,2014_28_Staten island
69,181,0,2014_29_Staten island
89,158,0,2014_30_Staten island
75,150,0,2014_31_Staten island
61,146,0,2014_32_Staten island
73,183,0,2014_33_Staten island
92,160,0,2014_34_Staten island
43,131,1,2014_35_Staten island
65,173,1,2014_36_Staten island
106,150,1,2014_37_Staten island
86,179,1,2014_38_Staten island
45,167,0,2014_39_Staten island
53,195,1,2014_40_Staten island
90,185,1,2014_41_Staten island
85,165,0,2014_42_Staten island
78,181,0,2014_43_Staten island
83,177,0,2014_44_Staten island
78,169,0,2014_45_Staten island
96,188,0,2014_46_Staten island
83,182,0,2014_47_Staten island
43,116,1,2014_48_Staten island
30,98,0,2014_49_Staten island
53,114,0,2014_50_Staten island
47,100,0,2014_51_Staten island
22,44,0,2014_52_Staten island
22,49,0,2015_1_Staten island
86,111,0,2015_2_Staten island
91,137,0,2015_3_Staten island
61,155,1,2015_4_Staten island
55,143,0,2015_5_Staten island
71,182,0,2015_6_Staten island
83,151,0,2015_7_Staten island
49,131,0,2015_8_Staten island
58,155,0,2015_9_Staten island
55,157,0,2015_10_Staten island
95,139,0,2015_11_Staten island
71,153,0,2015_12_Staten island
65,167,0,2015_13_Staten island
71,142,0,2015_14_Staten island
46,142,0,2015_15_Staten island
81,146,0,2015_16_Staten island
80,169,0,2015_17_Staten island
73,116,0,2015_18_Staten island
64,129,1,2015_19_Staten island
58,141,0,2015_20_Staten island
79,171,0,2015_21_Staten island
46,154,0,2015_22_Staten island
75,166,0,2015_23_Staten island
71,140,0,2015_24_Staten island
94,175,0,2015_25_Staten island
82,113,0,2015_26_Staten island
75,153,0,2015_27_Staten island
68,139,0,2015_28_Staten island
75,128,0,2015_29_Staten island
78,157,2,2015_30_Staten island
74,132,1,2015_31_Staten island
66,169,1,2015_32_Staten island
79,168,1,2015_33_Staten island
64,141,1,2015_34_Staten island
72,148,0,2015_35_Staten island
67,138,1,2015_36_Staten island
57,140,0,2015_37_Staten island
75,174,0,2015_38_Staten island
65,131,0,2015_39_Staten island
49,119,0,2015_40_Staten island
71,155,0,2015_41_Staten island
86,165,0,2015_42_Staten island
86,147,0,2015_43_Staten island
94,126,0,2015_44_Staten island
47,134,0,2015_45_Staten island
83,139,0,2015_46_Staten island
53,153,0,2015_47_Staten island
42,141,0,2015_48_Staten island
72,128,0,2015_49_Staten island
55,143,2,2015_50_Staten island
65,145,1,2015_51_Staten island
37,98,0,2015_52_Staten island
26,64,1,2015_53_Staten island
64,145,0,2016_1_Staten island
86,175,2,2016_2_Staten island
44,132,0,2016_3_Staten island
62,155,0,2016_4_Staten island
87,175,0,2016_5_Staten island
64,144,0,2016_6_Staten island
113,140,0,2016_7_Staten island
99,127,0,2016_8_Staten island
86,184,0,2016_9_Staten island
83,174,0,2016_10_Staten island
74,169,0,2016_11_Staten island
73,132,1,2016_12_Staten island
79,143,0,2016_13_Staten island
92,159,0,2016_14_Staten island
84,146,0,2016_15_Staten island
89,139,0,2016_16_Staten island
74,123,0,2016_17_Staten island
93,164,0,2016_18_Staten island
108,187,0,2016_19_Staten island
96,190,0,2016_20_Staten island
64,166,0,2016_21_Staten island
70,172,0,2016_22_Staten island
73,194,0,2016_23_Staten island
56,144,1,2016_24_Staten island
70,157,1,2016_25_Staten island
80,194,1,2016_26_Staten island
67,131,0,2016_27_Staten island
69,148,0,2016_28_Staten island
108,140,0,2016_29_Staten island
55,160,0,2016_30_Staten island
92,157,0,2016_31_Staten island
75,180,0,2016_32_Staten island
86,166,0,2016_33_Staten island
72,186,0,2016_34_Staten island
74,145,0,2016_35_Staten island
88,171,0,2016_36_Staten island
61,175,0,2016_37_Staten island
66,192,0,2016_38_Staten island
98,181,2,2016_39_Staten island
65,146,0,2016_40_Staten island
110,173,0,2016_41_Staten island
76,168,0,2016_42_Staten island
75,174,0,2016_43_Staten island
74,149,0,2016_44_Staten island
58,133,1,2016_45_Staten island
62,149,2,2016_46_Staten island
44,154,0,2016_47_Staten island
55,168,0,2016_48_Staten island
94,168,0,2016_49_Staten island
83,126,0,2016_50_Staten island
47,138,0,2016_51_Staten island
30,118,0,2016_52_Staten island
20,70,0,2016_53_Staten island
76,141,0,2017_1_Staten island
70,158,0,2017_2_Staten island
86,162,1,2017_3_Staten island
57,136,0,2017_4_Staten island
62,126,0,2017_5_Staten island
68,149,0,2017_6_Staten island
77,156,0,2017_7_Staten island
67,162,0,2017_8_Staten island
56,159,0,2017_9_Staten island
66,190,0,2017_10_Staten island
57,114,0,2017_11_Staten island
79,172,0,2017_12_Staten island
53,151,0,2017_13_Staten island
80,183,0,2017_14_Staten island
67,162,1,2017_15_Staten island
63,175,1,2017_16_Staten island
78,130,1,2017_17_Staten island
94,142,0,2017_18_Staten island
78,162,0,2017_19_Staten island
83,154,1,2017_20_Staten island
93,147,0,2017_21_Staten island
65,128,1,2017_22_Staten island
64,146,0,2017_23_Staten island
59,160,0,2017_24_Staten island
63,157,0,2017_25_Staten island
105,161,1,2017_26_Staten island
72,140,0,2017_27_Staten island
86,166,0,2017_28_Staten island
75,197,0,2017_29_Staten island
89,120,0,2017_30_Staten island
81,174,0,2017_31_Staten island
80,167,1,2017_32_Staten island
58,151,1,2017_33_Staten island
61,139,0,2017_34_Staten island
58,128,0,2017_35_Staten island
61,125,1,2017_36_Staten island
62,141,0,2017_37_Staten island
58,155,0,2017_38_Staten island
79,161,1,2017_39_Staten island
84,121,0,2017_40_Staten island
81,149,0,2017_41_Staten island
72,151,0,2017_42_Staten island
65,141,1,2017_43_Staten island
57,120,1,2017_44_Staten island
73,126,0,2017_45_Staten island
97,148,0,2017_46_Staten island
59,77,0,2017_47_Staten island
92,129,0,2017_48_Staten island
84,122,0,2017_49_Staten island
64,118,1,2017_50_Staten island
64,108,0,2017_51_Staten island
55,108,0,2017_52_Staten island
80,128,0,2018_1_Staten island
80,134,0,2018_2_Staten island
